Board Name,Board ID,Field Name,Field ID,Field Type,How is it useful what does it do?,If input which board,If input where else does the connection pull through,Field Input Method
EC12** - Accommodation,18412445605,Name,name,Key,Primary identifier for hotel,,,Name
EC12** - Accommodation,18412445605,Subitems,subitems,Connection,Links to Hotel Rooms subtasks board (18412445627),Hotel Rooms (18412445627),Hotel Rooms inventory management,Subtasks
EC12** - Accommodation,18412445605,Hotel Type,label__1,Input,Categorizes accommodation level (Camping/Hotels 3-5 star),,Mirrors to hotel allocation filters,Status
EC12** - Accommodation,18412445605,Hotel Address,long_text__1,Input,Full street address of hotel property,,,Long Text
EC12** - Accommodation,18412445605,Google Maps Pin,text__1,Input,Location map link for navigation,,,Text
EC12** - Accommodation,18412445605,Front Desk Phone Number,text5__1,Input,Primary hotel contact number,,,Text
EC12** - Accommodation,18412445605,Front Desk Email,text7__1,Input,Hotel email contact,,,Text
EC12** - Accommodation,18412445605,Standard Check-in Time,text8__1,Input,Hotel check-in policy hour,,,Text
EC12** - Accommodation,18412445605,Standard Check-out Time,text2__1,Input,Hotel check-out policy hour,,,Text
EC12** - Accommodation,18412445605,Breakfast available,text3__1,Input,Breakfast service details and timing,,,Text
EC12** - Accommodation,18412445605,Restaurant Opening Times,text0__1,Input,Restaurant hours of operation,,,Text
EC12** - Accommodation,18412445605,Room Service availability,text4__1,Input,Room service hours availability,,,Text
EC12** - Accommodation,18412445605,Wellness,text9__1,Input,Spa/wellness facility information,,,Text
EC12** - Accommodation,18412445605,Item ID,item_id__1,Key,System identifier for automation,,,Item ID
EC12** - Accommodation,18412445605,Laundry,text71__1,Input,Laundry service details,,,Text
EC12** - Accommodation,18412445605,Hotel Website,link__1,Input,Hotel website URL,,,Link
EC12** - Accommodation,18412445605,Breakfast Timings,long_text_mkswx8cv,Input,Detailed breakfast schedule,,,Long Text
EC12** - Accommodation,18412445605,Hotel Car Park,long_text_mkswytb5,Input,Car park information and locations,Artist Vehicles (18412445612),Vehicle parking coordination,Long Text
EC12** - Accommodation,18412445605,Artists - Artist Tracker @ Hotel,connect_boards54,Connection,Links to Artist Advancing Tracker,Artist Advancing Tracker (18412445614),Artist hotel allocation,Board Relation
EC12** - Accommodation,18412445605,Total Artist Party per Hotel,mirror5,Connection,Mirrors total artist headcount from tracker,Artist Advancing Tracker (18412445614),Hotel occupancy planning,Mirror
